libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdex 1.0.0-1.1
libdisplay-info 0.3.0-1.1
libdmtx 0.7.8-1.1
libdovi 3.3.2-1.1
libdrm 2.4.131-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.1-1.1
libebur128 1.2.6-2.1
libedit 20251016_3.1-1.1
libei 1.5.0-1.1
libelf 0.194-2
libepoxy 1.5.10-3.1
libevdev 1.13.6-1.1
libevent 2.1.12-5.1
libexif 0.6.25-1.1
libfdk-aac 2.0.3-1.1
libffi 3.5.2-1.1
libfontenc 1.1.9-1.1
libfreeaptx 0.2.2-1.1
libfyaml 0.9.6-1.1
libgcc 15.2.1+r604+g0b99615a8aef-2
libgcrypt 1.12.1-1.1
libgfortran 15.2.1+r604+g0b99615a8aef-2
libgirepository 1.86.0-2.1
libglvnd 1.7.0-3.1
libgomp 15.2.1+r604+g0b99615a8aef-2
libgpg-error 1.59-1.1
libgudev 238-3.1
libice 1.1.2-1.1
libidn 1.43-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libimagequant 4.4.1-1
libime 1.1.14-1.1
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libinih 62-2.1
libinput 1.31.0-1
libisl 0.27-1.1
libjpeg-turbo 3.1.3-1.1
libjxl 0.11.2-2.1
libkdcraw 25.12.3-1
libkexiv2 25.12.3-1.1
libksba 1.6.8-1.1
libkscreen 6.6.3-1.1
libksysguard 6.6.3-1
liblc3 1.1.3-2.1
libldac 2.0.2.3-3.1
libldap 2.6.13-1
liblsan 15.2.1+r604+g0b99615a8aef-2
libmakepkg-dropins 20-1
libmalcontent 0.13.1-1.1
libmanette 0.2.13-2.1
libmbim 1.34.0-1.1
libmd 1.1.0-2.1
libmfx 23.2.2-6
libmm-glib 1.24.2-1.1
libmng 2.0.3-4.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-7.1
libmpc 1.3.1-2.1
libmtp 1.1.23-1.1
libmysofa 1.3.3-1.1
libndp 1.9-1.2
libnet 2:1.3-1.2
libnetfilter_conntrack 1.0.9-2.1
libnewt 0.52.25-2.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.1-1.1
libnghttp2 1.68.1-1.1
libnghttp3 1.15.0-1.1
libngtcp2 1.21.0-1.1
libnice 0.1.23-1.1
libnih 1.0.3-5.1
libnl 3.12.0-1.1
libnm 1.56.0-1
libnotify 0.8.8-1.1
libnsl 2.0.1-1.1
libnvme 1.16.1-3.1
libobjc 15.2.1+r604+g0b99615a8aef-2
libogg 1.3.6-1.1
libopenmpt 0.8.5-1.1
libp11-kit 0.26.2-1.1
libpackagekit-glib 1.3.4-1.1
libpaper 2.2.7-1.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpgm 5.3.128-3.1
libpipeline 1.5.8-1.1
libpipewire 1:1.6.2-1.1
libplacebo 7.360.1-1.1
libplasma 6.6.3-1.1
libplist 2.7.0-3.1
libpng 1.6.55-1.1
libppd 2.1.1-2.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.9.0-1.1
libqmi 1.38.0-1.1
libqrtr-glib 1.4.0-1.1
libquadmath 15.2.1+r604+g0b99615a8aef-2
libraqm 0.10.4-1.1
libraw 0.22.0-2.1
libraw1394 2.1.2-4.1
librsvg 2:2.61.4-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.6.0-1.1
libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
libslirp 4.9.1-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.21-1.1
libsoup3 3.6.6-2
libsoxr 0.1.3-4.1
libspectre 0.2.12-2.1
libssc 0.4.2-1.1
libssh 0.12.0-1.1
libssh2 1.11.1-1.1
libstdc++ 15.2.1+r604+g0b99615a8aef-2
libstemmer 3.0.1-1.1
